framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,128,0.00615679994225502
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,64,0.004860800132155419
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,32,0.004380799829959869
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,16,0.004355200007557869
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,4,0.003884800150990486
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,2,0.004143999889492989
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,8,0.004428799822926521
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,1,0.004204799979925155
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,128,0.010393600165843963
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,128,0.0059935998171567915
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,64,0.007804799824953079
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,32,0.0073472000658512115
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,16,0.007049600034952164
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,64,0.004700800031423568
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,8,0.006822399795055389
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,16,0.005955199897289276
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,2,0.007788799703121185
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,4,0.0069472000002861025
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,8,0.003824000060558319
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,128,0.009008000046014786
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,8,0.006860800087451935
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,4,0.003872000053524971
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,32,0.004307200014591217
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,2,0.007923199981451034
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,4,0.007235199958086014
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,2,0.0043680001050233844
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,128,0.006364800035953522
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,1,0.006595200300216675
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,128,0.00947519987821579
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,1,0.004038399830460548
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,1,0.0072223998606204985
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,64,0.004844800010323525
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,64,0.00843840017914772
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,32,0.004524800181388855
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,32,0.008003199845552445
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,16,0.003996799886226654
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,16,0.0076223999261856076
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,8,0.004102399945259095
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,64,0.007814399898052216
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,8,0.007423999905586243
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,4,0.003977600112557411
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,4,0.007094399631023407
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,2,0.004320000112056732
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,2,0.0076223999261856076
