Factors,Extracellular exchange,Tyrosine metabolism,Cytochrome metabolism,Sphingolipid metabolism,Glutamate metabolism,Urea cycle,Arginine and proline metabolism,Glycolysis/gluconeogenesis,Eicosanoid metabolism,Starch and sucrose metabolism,Miscellaneous,ROS detoxification,Glycerophospholipid metabolism,Intracellular demand,Galactose metabolism,Fructose and mannose metabolism,Glutathione metabolism,Glyoxylate and dicarboxylate metabolism,Intracellular source/sink,Drug metabolism
healthy,-24.398926142563294,478.20021115809186,0.0412332141099796,191.01119551333926,358.237000256034,358.237000258184,-318.26914205801074,-718.5161981598561,-304.3746259705148,106.79124774110326,218.35699801714728,478.2975170658974,1098.5073335388695,482.8212949187315,338.5378405206933,-7.663345513719833e-10,517.0702679289268,-1432.4786921494942,594.4637160942661,-777.6333154715176
c,-475.7268963397278,-492.675918983753,-1970.8050686931983,507.64131725489125,-586.4727900462127,-586.472790041809,1088.8820252460757,-710.1000889960912,688.1613888394432,79.97064225989328,-278.31379021138156,-479.3515253007695,1098.5992444161977,-488.05483522380723,338.5378405206933,-7.663345513719833e-10,-453.80586221309295,-1432.456814487869,405.2124500709095,-962.6318397250387
healthy,-148.22613484626726,-397.81740807176357,0.009326574302804147,-448.8593768580525,358.237000256034,358.237000258184,-15.959200098611385,265.34089815506536,-306.91640689402607,-195.61619987936066,-209.4572480549159,462.69281108828125,-899.6073024425236,-393.1963243141589,-574.8262512562593,-2.141860022675246e-10,-358.947351297659,566.8798933504654,-362.0698780037543,-743.8260748118832
c,192.83933233132572,478.20021115809186,-1727.4223837510597,507.64131725489125,-31.69218166898529,-31.692181664666506,627.6537081338479,265.34089815506536,-302.345350634817,366.79749346467867,382.31133584833316,180.897218423513,1094.876378188932,482.8212949187315,338.5378405206933,-7.663345513719833e-10,430.11309416518935,552.89901409954,451.7199092026147,576.2228842868614
healthy,-299.47700710468524,-460.2035589452459,-0.09370206353594313,29.051325318750145,-324.9513126611227,-324.9513126659655,447.934101295237,-632.2754600854189,516.0766671969462,119.31592964621099,-423.9311764513488,127.6663328724421,-857.1499898706278,-455.7166175078903,338.5378405206933,-7.663345513719833e-10,-421.4676444941631,-1426.5388650556183,429.9362790813343,-821.1072982460919
c,-418.25061135556405,-488.9127183650855,-1967.041868076461,507.64131725489125,-155.38824884454797,-155.38824885636544,627.5213962704269,-642.1036131491283,688.1613888394432,145.48533925927777,-171.08616197579448,-483.2368289683669,1096.166286361829,-484.29163460406824,338.5378405206933,-7.663345513719833e-10,-450.0426615938459,-1430.0116566213167,261.9467578978055,-956.604305371337
healthy,98.29644472001921,478.20021115809186,0.02384086995027701,45.86132456721873,1123.8917868602443,1123.8917868591743,666.3164373263035,265.34089815506536,688.1613888394432,-198.2123764907057,384.6392559014187,165.47115684028566,1089.4504475601043,482.8212949187315,-585.0221448621622,-7.103722055035178e-10,517.0702679289268,487.71466810217737,-366.28740729898806,-852.3470296929671
c,-458.9911125463888,-465.9349071732698,-1959.9282874403334,507.64131725489125,-279.7779348818516,-279.7779348839847,1271.0260055652832,-577.4045901719078,688.1613888394432,61.4454747409071,-263.72737793263127,-468.5907296242293,1097.5235774800121,-462.3233138734025,338.5378405206933,-7.663345513719833e-10,-428.073512576118,-1432.290602603411,346.1061760946579,-950.0048242246341
healthy,-324.36730485416956,-504.60370497541385,0.0028051819150505253,14.723998831442657,358.237000256034,358.237000258184,665.7342008528655,-646.7510497208684,688.1613888394432,70.3783184703217,-474.98960413679345,-496.42420949123994,-885.6445374830114,-495.93625136734715,338.5378405206933,-7.663345513719833e-10,-469.8237323776622,-1427.718490193873,355.4023557767153,-963.6378846477762
c,-461.3268357197432,-500.93111998407545,-1979.060269693232,507.64131725489125,-293.5339010681656,-293.5339010721656,1153.5600010828139,-694.9690677404003,688.1613888394432,67.53918318115785,-250.33996622564737,-471.00433245250963,1098.1777528795897,-496.3100362231428,338.5378405206933,-7.663345513719833e-10,-462.0610632132013,-1430.8805659662253,253.9484563781395,-956.121143958113
healthy,132.4900659420221,478.20021115809186,-0.03200429166975027,507.64131725489125,358.237000256034,358.237000258184,-597.5960771924807,265.34089815506536,688.1613888394432,190.90708629838696,384.6041527930781,169.33498324659777,1092.0764348474327,482.8212949187315,338.5378405206933,-7.663345513719833e-10,517.0702679289268,563.2908318703271,251.5238420989544,-828.4956784883287
healthy,208.02137312904014,440.1273932121203,0.019400712396077324,-428.22461884974746,-405.79601071882234,-405.7960107169544,-480.04803328549565,-724.8833574937913,-306.07671383361026,-186.8961135537155,336.48168015410135,123.43230608369609,-891.7554184144974,425.7120679897798,-540.5800940563046,5.0032440412906e-09,300.736953245783,-1432.039182668966,-360.97485402351316,574.8035363810163
c,-399.91545659478504,-323.2596641753226,-1947.9117099153775,507.64131725489125,-564.0302887314714,-564.0302887295661,859.1050513373639,-682.8040040960841,688.1613888394432,89.82319464164523,-161.82375072151302,-391.0834613875911,1094.320113397066,-346.0615832350511,338.5378405206933,-7.663345513719833e-10,-311.81261022784577,-1432.304904752696,253.84304586806616,-941.6174656035907
healthy,168.11725189603413,-328.02721978241874,-0.006749055747604871,507.64131725489125,-394.2284868546827,-394.2284868405362,-422.6653386330874,265.34089815506536,-307.65256534549803,321.31496858770413,-166.04160160014015,-4.076563565502937,1094.455606082554,-318.7394174129736,338.5378405206933,-7.663345513719833e-10,-293.82388161709446,566.454239575058,278.4632692596478,581.9852361011705
c,-478.0210231886339,-506.0451189708977,-1984.17426868148,507.64131725489125,-565.2581451680478,-565.2581451647768,671.4383107095017,-668.4507271203696,688.1613888394432,45.19136661552974,-283.54479432661753,-494.65842937291586,1098.252337642749,-501.4240352109276,338.5378405206933,-7.663345513719833e-10,-467.1750622003232,-1432.457403628891,298.6344453980253,-966.8070342167885
c,-428.0995792850763,-509.7153537133301,-1987.8445034231459,507.64131725489125,-533.2785784443925,-533.2785784504345,-638.0001979249965,-708.659403424539,688.1613888394432,142.6925222508243,-181.7751866277658,-497.105252534266,1098.392552533066,-505.0942699528881,338.5378405206933,-7.663345513719833e-10,-470.8452969423257,-1431.162386228003,252.93930686364644,-958.8517038470982
healthy,-55.936014491233,-488.0188839419013,0.0012726057481131647,-444.3204450478361,358.237000256034,358.237000258184,1215.6598219676564,-575.3195329602152,-294.33472576867405,-187.9496088593302,-269.59156530254506,5.877865054655928,-895.559063038497,-483.39780017950886,-502.1225905991329,-2.98211944027571e-09,-449.14882717055906,-1432.4513976335295,-362.1934616903292,566.043595528047
c,-430.19748829583995,-513.2078356410572,-1991.336985350761,507.64131725489125,-153.93084306480088,-153.93084306168547,-244.82704647490718,-673.8084344100146,688.1613888394432,141.81338620574695,-186.50394130464423,-499.4335738194726,1097.6346604786638,-508.58675188089035,338.5378405206933,-7.663345513719833e-10,-474.33777887034825,-1432.4028197357502,257.16397288483097,-964.9732416462547
c,-432.5322183583726,-513.9247213310099,-1992.0538710407673,403.30297529010545,-550.4079670994149,-550.4079670954236,653.4163726949258,-720.7462692026343,688.1613888394432,141.15429414907027,-185.5084811077781,-499.91149761305155,1097.4054508625095,-509.3036375706001,338.5378405206933,-7.663345513719833e-10,-475.05466456052125,-1432.4029253250637,250.85618319223676,-967.6114601509788
healthy,182.00898395863274,63.1358061567823,-0.054458883099528066,-380.1382244336295,358.237000256034,358.237000258184,601.4071765971854,265.34089815506536,-291.6389587915629,-140.00135575034795,97.8448947615,339.77579417966876,-899.2328398291015,67.75688991656727,-214.054658567797,-2.574239488239982e-09,102.0058629250421,564.2276380876843,-327.6963786775491,599.7087357747904
c,-433.27420484084735,-513.5770158417382,-1991.1445082895702,507.64131725489125,-556.766832941805,-556.7668329388139,672.3077510551844,-717.4984958256354,688.1613888394432,140.43410801930497,-186.88185825160505,-500.05413212814915,1097.8845695994019,-508.39427481916164,338.5378405206933,-7.663345513719833e-10,-475.2686163327934,-1432.4602785912864,251.29280450355637,-968.0943097398142
healthy,-117.91302846593314,-500.63597773930707,-0.00944773352557604,-180.2790791061329,657.9835957454644,657.9835957434243,-335.6930516563695,265.34089815506536,-232.79029403375122,-66.16245074076792,-278.00296116717465,73.55909661568685,-870.8468853909549,-496.0148939799209,-66.42607280930054,-1.0407660511191352e-08,-461.7659209680994,563.3348757379657,-300.9243282406303,-818.7495158238039
c,-419.2005623503711,-493.16935529299104,-1971.2985050043235,507.64131725489125,-512.85034256836,-512.8503425672475,1279.5957209236733,-710.2734771387339,688.1613888394432,148.541501778814,-164.94887717054138,-486.0745869214528,1094.365986594166,-488.54827153265103,338.5378405206933,-7.663345513719833e-10,-454.29929852256174,-1427.4580922728555,251.90616247260994,-965.5824626723341
c,-292.7485563183835,-488.952930358857,-1967.0820800696833,9.29592199068415,-230.6708008856409,-230.6708008940897,866.3573079058627,265.34089815506536,-294.2677376131354,149.01213464890373,-163.69732323500145,2.1895666259630673,-896.660796527093,-484.3318465976513,338.5378405206933,-7.663345513719833e-10,-450.0828735870651,566.3613241781406,256.4898715409114,-344.06701135995667
c,-422.4833501451003,-488.8927194994166,-1967.3740089775156,170.887061633877,-506.2030532975599,-506.20305329313135,668.9013868629128,-715.4198742890765,688.1613888394432,142.18363997104623,-172.6693983367833,-411.9495390848259,1091.0469779274636,-484.6237755066189,338.5378405206933,-7.663345513719833e-10,-450.37480249613975,-1430.5899100886259,251.369685300353,-946.2546203101168
healthy,284.0601696764073,478.20021115809186,0.002519367979175513,-467.3074591777111,-478.86684216205026,-478.8668421607115,-627.2146653123294,265.34089815506536,-309.70433541474904,-201.49159473309882,407.8878314308984,176.375876828134,-899.5862986128014,482.8212949187315,-575.123440573925,-3.077502697124146e-10,397.47334474321775,566.0659187150238,-366.19125226693853,577.8464706728473
c,-470.50617332654565,-489.7212765556665,-1976.7463867945175,507.64131725489125,-581.6817985225617,-581.6817328002167,714.4015746116887,-641.2248057743958,688.1613888394432,32.79794964826187,-275.5843446941838,-484.01404384268255,1096.6472312109422,-485.4574569158566,338.5378405206933,-7.663345513719833e-10,-451.20850125334346,-1432.410163899398,262.26698562856535,-953.6050919714287
healthy,362.6704379790596,478.2002111614942,-0.010856407626874898,7.234412714062387,-274.9602135990795,-274.96021359600184,-500.1484829882231,265.34089815506536,-309.94663436491874,36.39955243809568,407.8878314308984,185.48566498205233,-898.6050950743185,482.8212949187315,336.3628850845155,4.1021706920219e-08,321.03339993553624,565.7652322290494,-248.17738767355797,575.3293322269316
c,-447.6919361227986,-376.90005195788643,-1988.3898303484202,162.39734748966197,-558.4138140419457,-558.4138140354194,667.0904713413862,-685.0065280054323,688.1613888394432,47.931031551800366,-229.92646876436342,-421.9490534739713,1097.371916995746,-392.3599713663507,338.5378405206933,-7.663345513719833e-10,-358.11099835547583,-1432.4095771389875,298.5071885085543,-949.3830492443134
healthy,-25.971997627149694,-355.8438421646976,0.02837734647266643,507.64131725489125,-366.2648306156508,-366.26483061219494,-249.92973767774205,265.34089815506536,-306.33308657489476,155.34966599906204,-269.55850872285384,22.089619126160557,1097.6570838750606,-352.2885936064621,338.5378405206933,-7.663345513719833e-10,-318.03962059516374,566.1298786909455,281.07510815556367,581.2039119219212
c,-480.70105502269763,-509.493234458116,-1987.7204521772458,203.3933734286815,-563.1052036786047,-563.1052036798443,1129.1407693723152,-702.3643013857799,688.1613888394432,29.4464164632585,-285.6422646213335,-494.6331363137381,1098.0341210241513,-504.9702187062784,338.5378405206933,-7.663345513719833e-10,-470.7212456967287,-1432.3981948831918,251.93763418833018,-962.781665505714
healthy,155.8162559006298,478.20021115809186,0.02120352522331359,-371.1369622980785,535.8731740716383,535.8731740618529,641.2636816353469,265.34089815506536,688.1613888394432,-156.20256613702378,377.3861500719516,168.58425397985448,-898.9505622054237,482.8212949187315,-420.0381623776616,-8.311928922921652e-10,517.0702679289268,566.300974874174,-345.09732506550455,-848.062471032177
c,-480.3724847570249,-512.6738275058042,-1988.4764440210347,507.64131725489125,-448.92565288556534,-448.92565288532114,669.6339987612263,-699.2201496221144,688.1613888394432,46.49081277354701,-285.30312571343137,-500.6583334478778,1063.5538629757052,-505.7262105505826,338.5378405206933,-7.663345513719833e-10,-476.17491831325725,-1432.3755367313129,293.9789536960298,-965.4240294252957
c,-473.8774006513921,-489.49034936758767,-1968.2690091620213,314.2230138103766,-530.2765377757698,-530.276537775088,1088.1285141482867,-702.9991724544076,688.1613888394432,70.73720291637729,-277.04564536783727,-484.05492302686184,1097.6011678686154,-485.51877569372505,338.5378405206933,-7.663345513719833e-10,-451.26980268071526,-1432.1652402425946,377.50040148087226,-962.6610031140202
healthy,-69.05518428787475,-496.0811272483807,0.03483455328682794,507.64131725489125,-436.0688566336073,-436.0688566311634,-641.8504347589441,265.34089815506536,-308.60343382611404,152.95997957945687,-354.2984972832569,-233.8764785857821,1099.188569868048,-491.4600434874186,338.5378405206933,-7.663345513719833e-10,-457.2110704789238,566.6737867395207,251.8337044798279,530.3887061834662
c,-481.49323986274965,-510.9315260269484,-1989.2321408152584,507.64131725489125,-549.2050433508821,-549.2050433565126,670.3456823125447,-706.8249586066222,688.1613888394432,99.53444627609676,-285.87926993654565,-498.0303441287015,1098.3303901233937,-506.4819073450475,338.5378405206933,-7.663345513719833e-10,-472.2329343342586,-1432.424188640733,460.65262524529567,-966.4490146336344
healthy,269.01919608815484,478.20021115809186,0.039868281734129596,-53.24066843047348,-588.1677792571847,-588.1677792595199,-577.0595062366748,265.34089815506536,-304.2924851527921,-205.5891074500191,407.8878314308984,176.6986686293258,689.1041321084024,482.8212949187315,-613.9925791724041,-1.0254552762489766e-10,313.1317411301141,566.1374798873815,-369.91343189835754,581.4985622043095
c,-477.3012932258357,-504.23245110141903,-1982.3616008111999,496.58192148955806,-598.8895978119207,-598.8895978062368,658.0999871492604,-696.625358980878,688.1613888394432,61.5633378488651,-283.0839444454263,-493.4499841269384,1097.9149900049613,-499.61136734196043,338.5378405206933,-7.663345513719833e-10,-465.362394330937,-1432.4188573846304,348.7982529670287,-957.061682423892
